Name,iL3,hL3,lL3
SRAE_2000480900,45.47,190.05,311.35
SRAE_2000480800,29.31,6.51,4.03
SRAE_2000480700,39.38,3.00,2.50
SRAE_2000480600,32.54,3.09,1.14
SRAE_2000480500,18.62,51.77,93.04
SRAE_2000480400,246.30,270.84,704.85
SRAE_2000480300,4.30,0.54,3.79
SRAE_2000480200,1.68,0.44,2.34
SRAE_2000480100,57.77,3.68,4.11
SRAE_2000480000,27.45,2.63,4.11
SRAE_2000479900,37.96,108.11,135.91
SRAE_2000479800,12.92,11.36,13.01
SRAE_2000479700,15.26,8.75,3.58
SRAE_2000479600,109.93,45.32,80.83
SRAE_2000479500,66.48,110.64,118.38
SRAE_2000479400,35.71,79.25,118.69
SRAE_2000479300,21.82,54.86,108.96
SRAE_2000479200,15.33,7.49,11.18
SRAE_2000479100,9.01,25.25,38.68
SRAE_2000479000,1.31,4.57,5.35
SRAE_2000478900,2.78,5.83,5.24
SRAE_2000478800,6.32,9.46,31.25
SRAE_2000478750,15.17,2.25,0.00
SRAE_2000478700,15.61,26.09,25.61
SRAE_2000478610,76.78,28.80,96.87
SRAE_2000478600,5.18,445.36,1094.56
SRAE_2000478500,1.63,728.38,1663.39
SRAE_2000478400,11.00,65.71,78.63
SRAE_2000478300,31.04,65.13,86.03
SRAE_2000478200,11.66,6.81,13.28
SRAE_2000478100,2.61,2.39,0.00
SRAE_2000478000,10.45,0.33,6.91
SRAE_2000477900,107.90,332.41,326.80
SRAE_2000477800,94.76,50.86,77.07
SRAE_2000477700,207.37,96.99,151.08
SRAE_2000477600,34.59,50.62,109.88
SRAE_2000477500,7.72,1.02,4.47
SRAE_2000477400,4.79,0.00,1.59
SRAE_2000477350,0.63,0.00,0.00
SRAE_2000477300,1.11,12.48,30.94
SRAE_2000477200,1.79,0.00,0.00
SRAE_2000477100,8.63,34.14,32.23
SRAE_2000477000,13.53,21.70,30.16
SRAE_2000476950,7.29,0.00,1.88
SRAE_2000476900,45.48,420.91,797.10
SRAE_2000476800,36.92,26.98,76.21
SRAE_2000476700,12.56,17.17,55.99
SRAE_2000476600,22.27,23.22,93.55
SRAE_2000476500,160.46,337.00,398.47
SRAE_2000476400,9.37,0.32,0.38
SRAE_2000476300,40.17,56.44,66.41
SRAE_2000476200,0.28,0.00,7.21
SRAE_2000476100,1.71,1.50,1.62
SRAE_2000476000,17.78,17.02,25.66
SRAE_2000475900,22.04,24.89,26.11
SRAE_2000475800,6.73,19.81,27.51
SRAE_2000475700,2.31,7.11,11.50
SRAE_2000475600,5.61,0.44,12.23
SRAE_2000475500,163.77,72.22,87.80
SRAE_2000475400,6.53,16.78,21.23
SRAE_2000475300,18.29,18.40,44.53
SRAE_2000475200,104.77,651.40,1516.96
SRAE_2000475100,187.53,649.09,1416.35
SRAE_2000475000,29.76,29.75,27.05
SRAE_2000474900,36.74,61.87,55.90
SRAE_2000474800,48.11,62.12,50.84
SRAE_2000474700,2.98,2.62,7.36
SRAE_2000474600,3.94,1.79,21.40
SRAE_2000474500,5.65,2.73,8.29
SRAE_2000474450,3.47,3.19,2.80
SRAE_2000474400,1.91,2.86,6.49
SRAE_2000474350,17.95,0.00,4.99
SRAE_2000474300,12.56,42.12,51.61
SRAE_2000474200,14.24,1.52,5.94
SRAE_2000474150,33.06,20.89,36.97
SRAE_2000474100,19.64,2.16,7.58
SRAE_2000474000,99.49,258.17,455.77
SRAE_2000473900,76.38,156.29,231.60
SRAE_2000473800,38.87,0.25,1.72
SRAE_2000473700,10.23,0.00,0.48
SRAE_2000473600,2.01,0.00,0.00
SRAE_2000473500,2.86,3.08,3.01
SRAE_2000473400,6.42,5.37,1.85
SRAE_2000473300,0.67,1.70,3.91
SRAE_2000473200,14.27,36.57,105.96
SRAE_2000473100,155.53,66.28,80.99
SRAE_2000473000,16.96,1.48,2.16
SRAE_2000472900,17.48,1.53,1.96
SRAE_2000472800,105.05,4.69,9.81
SRAE_2000472700,18.85,41.50,42.70
SRAE_2000472600,5.89,5.68,8.92
SRAE_2000472500,5.51,4.98,8.26
SRAE_2000472400,3.76,55.61,114.73
SRAE_2000472300,0.90,1.19,2.38
SRAE_2000472200,30.63,20.19,20.26
SRAE_2000472100,6.37,7.02,4.81
SRAE_2000472000,1.41,0.00,0.00
SRAE_2000471900,0.42,0.00,2.29
SRAE_2000471800,1.16,1.41,0.41
SRAE_2000471700,27.53,89.96,103.36
SRAE_2000471650,21.18,1.51,2.65
SRAE_2000471600,106.56,55.27,82.66
SRAE_2000471500,11.20,45.22,82.57
SRAE_2000471400,51.64,248.00,327.65
SRAE_2000471300,20.22,71.14,80.70
SRAE_2000471200,9.59,2.05,7.19
SRAE_2000471100,0.00,0.00,0.00
SRAE_2000471000,15.61,8.16,5.86
SRAE_2000470900,36.72,99.97,118.43
SRAE_2000470800,16.95,128.35,148.88
SRAE_2000470700,26.27,105.41,175.51
SRAE_2000470600,34.40,63.35,113.47
SRAE_2000470500,896.77,169.92,191.51
SRAE_2000470400,4.56,2.76,17.69
SRAE_2000470300,16.35,40.78,45.76
SRAE_2000470200,45.91,146.19,192.11
SRAE_2000470100,32.09,83.47,170.40
SRAE_2000470000,58.54,195.01,373.35
SRAE_2000469900,34.87,41.57,56.56
SRAE_2000469800,11.39,4.29,9.69
SRAE_2000469700,35.46,84.90,159.17
SRAE_2000469600,64.63,193.63,253.58
SRAE_2000469500,0.32,175.83,280.07
SRAE_2000469400,25.58,18.27,12.34
SRAE_2000469310,4.69,21.08,17.76
SRAE_2000469300,12.10,52.97,15.38
SRAE_2000469200,1.90,29.07,63.98
SRAE_2000469100,629.19,170.69,196.21
SRAE_2000469000,30.12,36.84,55.59
SRAE_2000468900,14.47,57.17,76.42
SRAE_2000468800,0.37,1.96,3.01
SRAE_2000468700,9.25,1.36,3.46
